,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TITLE,Salesforce Sales Cloud Implementation Plan,,COMPANY NAME: ,Galssco Lab,,,,12-Aug,,,,9-Sep,,,,,14-Oct,,,,11-Nov,,,,9-Dec,,,,,13-Jan,,,,10-Feb,,,,10-Mar,,,,,14-Apr,,,
PROJECT MANAGER,DEVENDRAPPA,,PROJECT START DATE: ,8/5/2024,,,,Aug,,,,Sep,,,,,Oct,,,,Nov,,,,Dec,,,,,Jan,,,,Feb,,,,Mar,,,,,Apr,,,
,,,,,,,,5-Aug,12-Aug,19-Aug,26-Aug,2-Sep,9-Sep,16-Sep,23-Sep,30-Sep,7-Oct,14-Oct,21-Oct,28-Oct,4-Nov,11-Nov,18-Nov,25-Nov,2-Dec,9-Dec,16-Dec,23-Dec,30-Dec,6-Jan,13-Jan,20-Jan,27-Jan,3-Feb,10-Feb,17-Feb,24-Feb,3-Mar,10-Mar,17-Mar,24-Mar,31-Mar,7-Apr,14-Apr,21-Apr,28-Apr
Milestone & Tasks,Assigned To,Start Date,End Date,Days ,Duration (weeks),Status,PCT OF TASK COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Kickoff,Dev,8/5/2024,8/19/2024,11d,2,Done,40%,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requirements Gathering,Dipesh,8/19/2024,9/2/2024,11d,2,Done,50%,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initial Setup,Harsha,9/2/2024,9/9/2024,6d,1,In-progress,20%,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solution Design,Harsha,9/9/2024,10/7/2024,21d,4,In-progress,90%,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prototyping,Harsha,10/7/2024,10/21/2024,11d,2,In-progress,40%,,,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,
Configuration,Harsha,10/21/2024,12/16/2024,41d,8,Done,50%,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,
Data Migration Planning,Harsha,12/16/2024,12/30/2024,11d,2,Blocked ,30%,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,,
Integration Development,Developer ,12/30/2024,1/13/2025,11d,2,Not Started ,40%,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,
Unit Testing,QA,1/13/2025,1/27/2025,11d,2,In-progress,50%,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,
System Testing,QA,1/27/2025,2/10/2025,11d,2,Blocked ,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,
User Acceptance Testing (UAT),QA,2/10/2025,2/24/2025,11d,2,Done,90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,
Training,Dipesh,2/24/2025,3/3/2025,6d,1,In-progress,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,
Data Migration,Harsha,3/3/2025,3/10/2025,6d,1,Blocked ,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,
Go-Live Preparation,Dev,3/10/2025,3/17/2025,6d,1,In-progress,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,
Go-Live,Harsha,3/17/2025,3/31/2025,11d,2,Blocked ,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,
Hypercare and Support,Harsha,3/31/2025,4/14/2025,11d,2,Done,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,
Transition to Maintenance,Harsha,4/14/2025,4/21/2025,6d,1,Done,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,